                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12319,                 0.1211,               0.019125,               0.054493,               0.030173,                0.11621,               0.013638,              0.0041412,               0.070187,                0.11602,               0.018556,              0.0069825,                0.10938,               0.065334,               0.013083,               0.049431,                 0.0784,                 0.0024,                 0.0024
                      1,               0.088362,               0.049965,                0.02201,               0.040199,                0.13916,                0.31221,               0.052763,               0.018328,                 0.2902,                0.17058,                0.07984,               0.033105,               0.088468,               0.056835,               0.015768,               0.036873,                0.05586,              0.0048596,              0.0048596
                      2,               0.073799,                0.03945,               0.021629,                0.03126,                0.17664,                0.32545,                0.13884,               0.051968,                0.21563,                0.34548,                0.16597,               0.083791,                0.07735,               0.048137,                0.01206,               0.031761,               0.033278,              0.0072779,              0.0072779
                      3,               0.068695,               0.037623,               0.020541,               0.026351,                0.15403,                0.26382,                0.12028,               0.054583,                0.16164,                0.27173,                0.12038,               0.061145,               0.080348,               0.058153,               0.012581,               0.030212,               0.010655,               0.009655,               0.009655
                      4,               0.063764,               0.038389,               0.020159,               0.020745,                0.13497,                0.33676,                0.10888,               0.035026,                0.19988,                 0.3795,                0.16775,                0.06426,               0.077327,               0.064833,               0.035801,               0.030903,                0.00967,                0.00967,                0.00967
                      5,               0.059492,               0.036643,               0.018943,               0.016039,                0.39115,                0.40937,                 0.3205,                0.14709,                0.39609,                0.41882,                0.33142,                0.16118,               0.064504,               0.049127,               0.012787,               0.018589,                0.00967,                0.00967,                0.00967
                      6,               0.056385,               0.035116,               0.018951,               0.013024,                0.41546,                0.34997,                0.31152,                0.14259,                0.40994,                0.37223,                0.30388,                0.14738,               0.064848,               0.046539,               0.013985,               0.021832,              0.0095875,              0.0095875,              0.0095875
                      7,               0.053986,               0.034084,               0.018344,               0.011389,                0.33841,                0.44912,                0.32151,                0.14154,                0.31423,                0.42266,                0.30155,                0.15729,               0.065531,               0.043451,               0.012325,               0.019306,               0.009505,               0.009505,               0.009505
                      8,               0.052329,               0.033932,               0.018515,               0.010155,                0.43609,                0.49774,                0.41356,                0.18561,                0.44833,                0.46601,                0.39119,                0.18952,               0.061302,               0.045391,               0.013756,               0.013304,              0.0094225,              0.0094225,              0.0094225
                      9,               0.050694,               0.033656,               0.018078,              0.0098996,                0.41155,                0.36242,                0.35371,                0.15709,                0.40707,                 0.3248,                0.31931,                0.16819,               0.058226,               0.043263,               0.013212,               0.023643,                0.00934,                0.00934,                0.00934
                     10,               0.049934,               0.034032,               0.018377,              0.0094447,                 0.4627,                0.46823,                0.43956,                0.20454,                0.44617,                0.44186,                0.41163,                0.20294,                0.05875,               0.044348,               0.012743,               0.025349,              0.0092575,              0.0092575,              0.0092575
                     11,               0.048695,               0.032977,               0.018034,              0.0081073,                0.46666,                0.37122,                0.30279,                0.12542,                0.41268,                0.34536,                0.28816,                 0.1256,               0.060123,               0.045541,               0.013203,               0.023552,               0.009175,               0.009175,               0.009175
                     12,               0.047926,               0.033218,                0.01784,              0.0083253,                0.51448,                 0.3903,                0.35094,                0.18497,                0.48266,                0.37367,                0.32464,                0.18009,               0.057737,                0.04857,               0.015722,               0.039146,              0.0090925,              0.0090925,              0.0090925
                     13,                0.04629,               0.032229,                0.01729,              0.0074548,                0.42163,                0.48248,                  0.402,                0.17705,                0.40415,                0.46711,                0.38005,                0.17065,               0.058082,               0.040778,               0.013191,               0.025406,                0.00901,                0.00901,                0.00901
                     14,               0.047142,               0.032493,               0.017681,              0.0074298,                0.50639,                0.38139,                0.36079,                 0.1633,                0.52301,                0.37713,                 0.3511,                0.17031,               0.064641,               0.050604,               0.015387,                0.02533,              0.0089275,              0.0089275,              0.0089275
                     15,               0.045678,               0.031792,               0.017139,              0.0070689,                 0.5981,                0.40889,                0.42451,                0.20208,                0.63046,                0.39636,                0.41005,                0.18749,               0.057031,               0.046423,               0.015087,               0.016293,               0.008845,               0.008845,               0.008845
                     16,               0.046107,               0.032219,               0.017644,              0.0064702,                0.55667,                0.50313,                0.50439,                0.24697,                0.52811,                0.48144,                0.46835,                0.23341,               0.056055,               0.045747,               0.012796,               0.017174,              0.0087625,              0.0087625,              0.0087625
                     17,               0.045083,               0.030922,               0.017117,              0.0066699,                0.49877,                0.57639,                0.54273,                0.27924,                0.51073,                0.51899,                0.51022,                0.26278,               0.050179,               0.038176,               0.011683,                0.01115,                0.00868,                0.00868,                0.00868
                     18,               0.045059,               0.030871,               0.016912,              0.0064093,                0.51622,                0.55319,                0.54365,                0.26689,                0.47781,                0.51909,                0.50237,                0.25237,               0.052104,               0.038638,               0.011774,               0.012001,              0.0085975,              0.0085975,              0.0085975
